Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7,Menu8
mon,225,흑미밥,냉이된장국,불맛제육볶음,한식잡채,시금치깨소금무침,포기김치,양상추샐러드,삼색송편
tue,178,강낭콩밥,얼큰콩나물국,삼치엿장구이,달걀맛살찜,봄동겉절이,포기김치,그린샐러드,귤
wed,145,차조밥,경상도소고기국,청양달걀장조림,우엉찹쌀튀김,숙주미나리무침,포기김치,호박죽,숭늉
thu,146,잡곡밥,돈육김치찌개,춘천닭갈비,호박씨멸치볶음,동초겉절이,동치미,양상추샐러드,시나몬토스트
fri,207,떠먹는유부초밥,우동,야채튀김,단무지,,포기김치,삼색생채비빔나물,강된장찌개
tue,215,잡곡밥,들깨미역국,바베큐폭찹,샐러드파스타,교동양념어묵,포기김치,딸기잼토스트,누룽지튀김
wed,177,백미밥,버섯찌개,카레라이스,쫄면,미트블양송이조림,백김치,그린샐러드,키위d
thu,144,김치볶음밥,순두부백탕,계란후라이,국물떡볶이,순대장,깍두기,양상추샐러드,식혜
fri,88,떠먹는유부초밥,우동,야채튀김,단무지,,포기김치,삼색생채비빔나물,강된장찌개
mon,198,차조밥,김치찌개,너비아니파채,삼색계란찜,오이양파무침,포기김치,양배추샐러드,숭늉
tue,145,콩나물밥양념장,된장찌개,불맛간장불고기,모닝빵샌드위치,단배추겉절이,포기김치,그린샐러드,버터링쿠키
wed,51,흑미밥,경상도소고기국,마파두부,우엉잡채,봄동겉절이,깍두기,호박죽,숭늉
wed,189,굴소스야채볶음밥,짬뽕국,짜장소스,탕수강정,치커리무생채,포기김치,그린샐러드,매실차
thu,142,차조밥,맑은순두부찌개,매콤안동찜닭,비빔만두,동초겉절이,포기김치,그린샐러드,숭늉
fri,148,흑미밥,김치콩나물국,함박스테이크,크림소스스파게티,양상추샐러드,수제피클,이색나물,강된장
mon,141,곤드레밥양념장,두부된장찌개,돈육메알장조림,교동양념어묵,쌈추무채무침,포기김치,그린샐러드,버터링쿠키
tue,85,차조밥,얼큰어묵국,김치제육볶음,우엉찹쌀튀김,봄동겉절이,포기김치,그린샐러드,숭늉
wed,140,흑미밥,닭개장,돈채피망볶음,알감자버터구이,무생채,포기김치,그린샐러드,누룽지튀김
thu,154,대패깍두기볶음밥,우동장국,동그랑땡케찹조림,사각어묵볶음,계란후라이,포기김치,그린샐러드,호박죽
fri,138,백미밥,잔치국수,불맛제육볶음,부추야채전,오이고추된장무침,포기김치,딸기잼토스트,숭늉
mon,106,차조밥,미소된장국,매운돈갈비찜,고구마맛탕,봄동겉절이,포기김치,그린샐러드,초코칩쿠키
tue,68,오곡밥,황태무국,두부민찌조림,삼색나물콩나물.시금치.무,구이김장,포기김치,식혜,땅콩
mon,184,흑미밥,육개장,해물볶음우동,맛살계란찜,치커리무생채,포기김치,만다린샐러드,숭늉
tue,144,백미밥,순대국밥다대기,두부커틀렛,고기우엉조림,무양파간장지,깍두기,그린샐러드,매실차
wed,148,차조밥,얼큰수제비국,불맛간장불고기,콘치즈버터구이,양배추쌈,포기김치,숭늉,시나몬토스트
thu,78,흑미밥,맑은콩나물국,춘천닭갈비,호박씨멸치볶음,봄동겉절이,포기김치,양상추샐러드,요구르트
fri,223,흑미밥,들깨미역국,뒷다리살찹스테이크,꽃맛살샐러드,숙주미나리무침,포기김치,그린샐러드,숭늉
mon,206,기장밥,부대찌개,생선까스,푸실리파스타,치커리유자생채,깍두기,버터링쿠키,레몬에이드
tue,165,콩나물밥양념장,근대된장국,오삼불고기,막국수,오이고추된장무침,포기김치,만다린샐러드,슝늉
wed,119,후리가케볶음밥,계란탕,매콤국물떡볶이,양념어묵,김말이만두튀김,포기김치,이색나물,약고추장
thu,114,차조밥,짬뽕국,마파두부,깐풍탕수육,봄동무생채,포기김치,그린샐러드,요구르트
fri,193,흑미밥,두부된장찌개,제육볶음,고구마맛탕,맛살콩나물냉채,포기김치,상추쌈,쌈장
mon,163,차조밥,경상도소고기국,한식잡채,김치전,열무된장무침,깍두기,그린샐러드,매실차
tue,157,갈릭목살필라프,우동장국,로제파스타,매콤알감자조림,양상추샐러드,포기김치,요구르트,호박죽
wed,141,기장밥,사골만두국,모듬장조림,쫄면무침,단배추겉절이,포기김치,그린샐러드,누룽지튀김
thu,100,차조밥,호박고추장찌개,함박스테이크,콘슬로우,치커리유자생채,포기김치,그린샐러드,숭늉
fri,200,차조밥,돈육김치찌개,오징어까스타르타르소스,깻잎멸치볶음,양배추쌈젓장,포기김치,그린샐러드키위D,숭늉
mon,126,강낭콩밥,얼큰콩나물국,뼈없는안동찜닭,어슷우엉조림,치커리유자생채,포기김치,그린샐러드아일랜드D,요구르트
tue,130,날치알김치볶음밥,미니우동,비빔야채만두,브로콜리들깨볶음,파송송김무침,단무지,그린샐러드키위D,매실차
wed,131,완두콩밥,미소된장국,야채듬뿍카레소스,야채고로케케찹,마카로니샐러드,포기김치,그린샐러드오리엔탈D,두유
thu,77,잡곡밥,봄동된장국,제육김치볶음,온두부양념장,상추미나리생채,고추마늘장아찌,그린샐러드키위D,숭늉
fri,196,찰기장밥,부대찌개,생선까스타르타르S,매콤감자조림,시금치깨소금무침,백김치,그린샐러드유자D,
mon,127,흑미밥,닭곰탕,피망잡채,김치전,오이부추무침,깍두기,수정과,
tue,103,보리밥,잔치국수,삼색비빔나물강된장,핫도그케찹,,포기김치,망고주스,
wed,101,강낭콩밥,감자된장찌개,제육볶음,궁중떡볶이,상추겉절이,포기김치,식혜,
thu,60,콩나물밥양념장,쑥국,고등어엿장구이,동초겉절이,김가루쪽파무침,포기김치,호박죽,
fri,157,찰기장밥,홍합미역국,제육김치볶음,온두부양념장,상추알배기쌈,고추마늘장아찌,그린샐러드키위D,
mon,148,완두콩밥,떡만두국,해물콩나물찜,사각어묵볶음,얼갈이된장무침,포기김치,미숫가루,
tue,126,흑미밥,돈등뼈해장국,한식잡채,도토리묵야채무침,아삭고추양파된장,깍두기,수정과,
wed,117,강낭콩밥,오징어콩나물국,미니돈까스,새송이호박볶음,푸실리샐러드,포기김치,오미자차,
mon,112,계란볶음밥,짬뽕국,짜장소스,탕수만두,단무지무침,포기김치,요구르트,
tue,175,찰기장밥,봄동된장국,돈육버섯불고기,오징어까스타르타르S,파채상추겉절이,포기김치,망고주스,
wed,115,완두콩밥,들깨미역국,야채찜닭납작당면,사각어묵볶음,동초겉절이,포기김치,수정과,
thu,124,취나물밥양념장,황태무국,제육볶음,구이김양념장,치커리무생채,포기김치,파이,
fri,117,흑미밥,돈육김치찌개,비엔나브로콜리볶음,야채비빔막국수,단무지무침,열무김치,호박죽,
mon,68,봄나물비빔밥,청양된장찌개,계란후라이,메밀전병,호박씨멸치볶음,포기김치,식혜,
tue,173,찰기장밥,감자수제비국,제육김치볶음,깻잎멸치조림,참나물무생채,깍두기,미숫가루,
wed,118,귀리밥,닭개장,돈민찌두부조림,둥근어묵볶음,오이양파무침,배추김치,약과,
thu,88,강낭콩밥,김치두부국,돈육장조림,야채고로케케찹,트리플빈샐러드이탈리안D,배추김치,오미자차,
fri,115,잡곡밥,들깨무채국,닭살데리야끼조림,감자야채전,콩나물무침,배추김치,망고주스,
mon,74,완두콩밥,유부장국,마파두부,고기김치손만두,단무지,배추김치,그린샐러드키위D,
tue,186,강낭콩밥,얼큰콩나물국,고추장불고기,어슷어묵볶음,상추쌈쌈장,배추김치,단호박건포도범벅,
wed,157,완두콩밥,양송이스프,순살돈까스소스,샐러드스파게티,수제피클,배추김치,오렌지,생채비빔나물
mon,155,미니보리밥,잔치국수,닭장각오븐구이허니머스타드,,,배추김치,오미자차,생채비빔나물
tue,129,귀리밥,배추시락국,코다리무조림,누들떡볶이,모듬튀김,포기김치,식혜,
wed,81,잡곡밥,순대돼지국밥다대기,깻잎야채전,견과류멸치볶음,햇양파무장아찌,깍두기,약과,
thu,154,찰기장밥,북어무국,닭볶음탕,한식잡채,콩나물미나리무침,배추김치,밤만쥬빵,그린샐러드
fri,139,흑미밥,돈육김치찌개,부들계란찜,표고가지탕수육,청경채오이생채,배추김치,수정과,콘슬로우샐러드
tue,123,완두콩밥,떡만두국,제육볶음,도토리묵무침,근대양배추찜양념장,볶음김치,호박죽,
wed,90,청양고추소시지오므라이스소스,미역두부장국,토마토그린샐러드,바게트마늘빵,수제피클,포기김치,생채비빔나물,
thu,185,강낭콩밥,얼큰소고기국,생선까스타르타르s,매콤두부조림,우엉채볶음,배추김치,그린샐러드,
fri,156,흑미밥,어묵국,제육볶음,비엔나떡볶음,오이부추무침,배추김치,망고주스,
mon,144,미니밥,냉메밀국수,파닭순살치킨,수제무피클,,포기김치,생채비빔나물,
