일자,요일,정원,휴가자,출장자,초근,재택,Menu2,Menu3,Menu4,중식계,검증DT
2021-01-25,월,600,111,24,0,28,냉이된장국,불맛제육볶음,한식잡채,225,100
2021-01-26,화,600,94,24,0,21,얼큰콩나물국,삼치엿장구이,달걀맛살찜,178,100
2021-01-27,수,600,115,24,0,16,경상도소고기국,청양달걀장조림,우엉찹쌀튀김,145,100
2021-01-28,목,600,99,24,0,26,돈육김치찌개,춘천닭갈비,호박씨멸치볶음,146,100
2021-01-29,금,600,173,24,0,32,우동,야채튀김,단무지,207,100
2021-02-02,화,600,115,24,0,17,들깨미역국,바베큐폭찹,샐러드파스타,215,100
2021-02-03,수,600,124,24,0,19,버섯찌개,카레라이스,쫄면,177,100
2021-02-04,목,600,100,24,0,33,순두부백탕,계란후라이,국물떡볶이,144,100
2021-02-05,금,600,148,24,0,26,우동,야채튀김,단무지,88,100
2021-02-08,월,600,125,24,0,27,김치찌개,너비아니&파채,삼색계란찜,198,100
2021-02-09,화,600,121,24,0,50,된장찌개,불맛간장불고기,모닝빵샌드위치,145,100
2021-02-10,수,600,285,24,0,17,경상도소고기국,마파두부,우엉잡채,51,100
2021-02-15,월,600,172,24,0,29,짬뽕국,짜장소스,탕수강정,189,100
2021-02-16,화,600,111,24,0,36,맑은순두부찌개,매콤안동찜닭,비빔만두,142,100
2021-02-17,수,600,96,23,0,18,김치콩나물국,함박스테이크,크림소스스파게티,148,100
2021-02-18,목,600,110,23,0,15,두부된장찌개,돈육메알장조림,교동양념어묵,141,100
2021-02-19,금,600,193,23,0,19,얼큰어묵국,김치제육볶음,우엉찹쌀튀김,85,100
2021-02-22,월,600,159,23,0,23,닭개장,돈채피망볶음,알감자버터구이,140,100
2021-02-23,화,600,122,23,0,41,우동장국,동그랑땡케찹조림,사각어묵볶음,154,100
2021-02-24,수,598,128,23,0,15,잔치국수,불맛제육볶음,부추야채전,138,100
2021-02-25,목,598,134,23,0,18,미소된장국,매운돈갈비찜,고구마맛탕,106,100
2021-02-26,금,598,211,23,0,19,황태무국,두부민찌조림,삼색나물/(콩나물.시금치.무),68,100
