Date,Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7
2022-06-01,tue,,지방선거,,,,,,
2022-06-02,wed,99,중화덮밥,오이미역냉국,군만두,양배추샐러드,,포기김치,석류주스
2022-06-03,mon,84,미니밥,손만두떡국(大),단호박&고구마튀김,오징어초무침,,포기김치,밤만쥬
2022-06-06,tue,,현충일,,,,,,
2022-06-07,wed,122,차조밥/쌀밥,차돌된장찌개,브로콜리비엔나볶음,한식잡채,♣열무겉절이,포기김치,♣허니자몽블랙티
2022-06-08,thu,116,♣쭈꾸미제육비빔밥,들깨미역국,사각어묵볶음,마카로니콘샐러드,,포기김치,요구르트
2022-06-09,fri,105,,♣김치말이국수,메밀전병,,,무양파장아찌,꽈배기도넛츠
2022-06-10,mon,65,귀리밥/쌀밥,육개장,소시지달걀부침,♣가지볶음,맛김구이,깍두기,♣꿀토마토
2022-06-13,tue,114,차조밥/쌀밥,배추된장국,국물깻잎닭갈비,알감자조림,겨자삼색냉채,포기김치,♣망고주스
2022-06-14,wed,115,완두콩밥/쌀밥,계란국,마파두부소스,미트볼조랭이떡강정,그린샐러드,포기김치,♣유자민트티
2022-06-15,thu,111,흑미밥/쌀밥,♣도토리묵냉국,돈육김치찜,호박느타리볶음,열무겉절이,무양파장아찌,매실차
2022-06-16,fri,104,,닭고기쌀국수,핫도그,,단무지,포기김치,요구르트
2022-06-17,mon,84,,영양닭죽,♣표고가지탕수육,아삭고추양파무침,,깍두기,앙버터모닝빵
2022-06-20,tue,130,흑미밥/쌀밥,돈육김치찌개,오징어까스*타르타르S,♣가지양파볶음,새콤파채콩나물무침,고추마늘장아찌,냉녹차
2022-06-21,wed,124,귀리밥/쌀밥,새알미역국,고추장불고기,모듬쌈&강된장,,포기김치,포기김치
2022-06-22,thu,110,취나물밥*양념장,북어무국,돈육계란장조림,♣얼갈이겉절이,구이김,포기김치,♣미숫가루
2022-06-23,fri,84,닭갈비볶음밥,미소된장국,굴소스볶음우동,그린샐러드,,포기김치,바나나
2022-06-24,mon,65,오징어덮밥,콩나물냉국,계란후라이,으깬감자샐러드,,깍두기,비피더스
2022-06-27,tue,,가스공급중단/식당미운영,,,,,,
2022-06-28,wed,148,귀리밥/쌀밥,김치콩나물국,바싹불고기,알감자버터구이,상추겉절이,양념깻잎지,복숭아아이스티
2022-06-29,thu,136,병아리콩밥/쌀밥,닭볶음탕,야채고로케*케찹,비빔당면,♣열무된장무침,포기김치,냉녹차
2022-06-30,fri,100,,♣물냉면,왕만두,단무지,,열무김치,♣찐옥수수
2022-07-01,mon,68,흑미밥/쌀밥,만두육개장(大),청경채찜,도라지진미채무침,파송송김무침,포기김치,♣매실차
2022-07-04,tue,145,완두콩밥/쌀밥,참치김치찌개,뼈없는안동찜닭,깻잎멸치볶음,마카로니콘샐러드,포기김치,냉녹차
2022-07-05,wed,130,귀리밥/쌀밥,바지락순두부찌개,통계란떡볶이,해쉬포테이토,오이부추무침,포기김치,♣자몽허니블랙티
2022-07-06,thu,95,,♣냉모밀국수(大),등심돈까스,양배추샐러드,수제피클,포기김치,마늘빵
