근무일자,요일,휴일명,대구_총원,근무인원,휴직,연차휴가,공가휴가,병가휴가,기타휴가,시내출장,국내출장,국외출장,스마트워크,재택근무,중식계
2022-06-01,수요일,지방선거일,640,612,28,4,0,4,3,1,5,2,1,0,0
2022-06-02,목요일,0,640,612,28,114,9,5,4,4,142,2,43,9,99
2022-06-03,금요일,0,640,612,28,171,4,5,8,9,170,2,33,10,84
2022-06-04,토요일,토요일,640,612,28,3,0,4,3,0,3,2,0,0,0
2022-06-05,일요일,일요일,640,612,28,3,0,4,3,1,2,0,0,0,0
2022-06-06,월요일,현충일,640,612,28,3,0,3,3,0,11,0,0,0,0
2022-06-07,화요일,0,639,611,28,92,1,8,6,4,121,0,23,8,122
2022-06-08,수요일,0,639,611,28,56,0,5,5,9,146,0,18,3,116
2022-06-09,목요일,0,639,611,28,62,3,4,2,7,170,0,27,5,105
2022-06-10,금요일,0,639,610,29,107,3,10,5,5,201,0,36,8,65
2022-06-11,토요일,토요일,639,610,29,2,0,3,2,0,17,0,0,0,0
2022-06-12,일요일,일요일,638,609,29,2,0,3,2,0,15,0,0,0,0
2022-06-13,월요일,0,638,608,30,94,3,6,5,3,107,0,18,4,114
2022-06-14,화요일,0,638,608,30,90,3,5,4,13,128,0,17,2,115
2022-06-15,수요일,0,638,608,30,78,1,6,4,7,124,0,21,4,111
2022-06-16,목요일,0,638,608,30,97,2,5,3,5,162,0,21,3,104
2022-06-17,금요일,0,637,607,30,154,3,4,10,6,168,0,27,12,84
2022-06-18,토요일,토요일,637,607,30,2,0,2,4,3,5,0,0,0,0
2022-06-19,일요일,일요일,637,607,30,1,0,2,4,1,6,0,0,0,0
2022-06-20,월요일,0,637,607,30,97,4,4,9,4,59,1,25,6,130
2022-06-21,화요일,0,637,606,31,76,1,6,5,10,111,1,20,3,124
2022-06-22,수요일,0,637,606,31,84,1,3,12,11,135,1,18,2,110
2022-06-23,목요일,0,636,605,31,79,1,4,4,23,229,1,17,5,84
2022-06-24,금요일,0,636,605,31,150,2,3,10,8,207,1,31,6,65
2022-06-25,토요일,토요일,636,605,31,3,0,2,2,1,3,1,0,0,0
2022-06-26,일요일,일요일,636,605,31,3,0,2,2,0,3,0,0,0,0
2022-06-27,월요일,0,643,611,32,97,3,4,4,2,85,0,27,4,0
2022-06-28,화요일,0,643,611,32,69,0,3,4,12,134,0,17,4,148
2022-06-29,수요일,0,642,610,32,79,2,2,7,9,122,0,22,7,136
2022-06-30,목요일,0,635,603,32,83,4,4,9,13,142,0,19,6,100
2022-07-01,금요일,0,636,605,31,125,2,8,14,20,181,0,30,4,68
2022-07-02,토요일,토요일,636,605,31,2,0,3,4,1,4,0,0,0,0
2022-07-03,일요일,일요일,636,605,31,2,0,3,4,0,11,0,0,0,0
2022-07-04,월요일,0,635,604,31,90,1,8,4,1,78,0,18,4,145
2022-07-05,화요일,0,635,604,31,56,2,9,5,1,128,0,16,5,130
2022-07-06,수요일,0,635,604,31,66,20,8,7,17,131,0,14,2,95
2022-07-07,목요일,0,635,604,31,66,5,12,6,2,184,0,16,3,112
2022-07-08,금요일,0,635,603,32,158,9,7,7,4,171,0,31,6,81
2022-07-09,토요일,토요일,634,602,32,2,0,3,3,0,6,1,0,0,0
2022-07-10,일요일,일요일,634,602,32,3,0,2,3,1,8,1,0,0,0
2022-07-11,월요일,0,634,602,32,113,5,8,9,15,60,1,22,6,156
2022-07-12,화요일,0,632,600,32,79,3,14,4,7,118,1,15,3,140
2022-07-13,수요일,0,631,599,32,67,0,11,6,3,145,4,18,6,136
2022-07-14,목요일,0,631,599,32,90,4,12,5,4,189,4,18,9,70
2022-07-15,금요일,0,631,599,32,162,6,11,6,6,185,4,23,7,71
2022-07-16,토요일,토요일,631,599,32,14,0,5,4,0,10,1,0,0,0
2022-07-17,일요일,일요일,631,599,32,14,0,5,4,0,12,0,0,0,0
2022-07-18,월요일,0,632,599,33,120,8,12,11,8,75,0,18,5,157
2022-07-19,화요일,0,632,599,33,74,3,10,7,4,141,0,17,4,96
2022-07-20,수요일,0,631,598,33,81,1,13,6,8,166,0,17,2,105
2022-07-21,목요일,0,631,598,33,94,1,10,4,10,195,0,19,6,103
2022-07-22,금요일,0,631,598,33,148,9,14,8,7,184,0,28,10,63
2022-07-23,토요일,토요일,631,598,33,11,0,8,3,0,1,1,0,0,0
2022-07-24,일요일,일요일,631,598,33,10,0,8,3,0,1,1,0,0,0
2022-07-25,월요일,0,631,598,33,105,14,17,10,5,61,1,16,6,108
2022-07-26,화요일,0,630,597,33,87,5,16,3,17,106,1,12,7,88
2022-07-27,수요일,0,630,597,33,95,3,17,4,3,136,1,14,6,99
2022-07-28,목요일,0,630,597,33,104,8,16,5,6,161,1,22,4,103
2022-07-29,금요일,0,630,597,33,191,14,22,10,2,146,0,22,7,64
2022-07-30,토요일,토요일,630,598,32,22,0,7,4,0,3,0,0,0,0
2022-07-31,일요일,일요일,624,592,32,21,0,7,4,0,1,1,0,0,0
2022-08-01,월요일,0,649,617,32,164,4,13,9,5,83,1,21,6,94
2022-08-02,화요일,0,650,618,32,151,4,14,4,6,109,1,11,5,135
2022-08-03,수요일,0,650,618,32,130,5,18,5,3,157,1,12,3,100
2022-08-04,목요일,0,650,618,32,110,2,17,5,12,190,0,21,5,93
2022-08-05,금요일,0,650,618,32,191,10,14,9,9,154,0,28,10,86
2022-08-06,토요일,토요일,650,618,32,12,0,7,4,0,6,0,0,0,0
2022-08-07,일요일,일요일,650,618,32,12,0,8,4,0,10,0,0,0,0
2022-08-08,월요일,0,649,617,32,123,8,16,8,7,68,0,16,4,166
2022-08-09,화요일,0,648,616,32,102,3,17,5,7,98,0,13,5,168
2022-08-10,수요일,0,647,615,32,110,5,15,7,0,128,0,20,7,132
2022-08-11,목요일,0,647,616,31,119,2,13,8,10,125,0,20,9,105
2022-08-12,금요일,0,647,616,31,175,15,14,9,3,130,0,25,17,65
2022-08-13,토요일,토요일,647,616,31,18,0,4,4,0,7,0,0,0,0
2022-08-14,일요일,일요일,647,616,31,18,0,4,2,0,4,0,0,0,0
2022-08-15,월요일,광복절,647,617,30,18,0,4,2,0,3,3,0,0,0
2022-08-16,화요일,0,647,615,32,159,11,13,5,9,42,4,18,4,152
2022-08-17,수요일,0,647,615,32,121,8,17,8,8,98,4,20,12,139
2022-08-18,목요일,0,647,615,32,122,9,20,5,4,144,4,18,4,92
2022-08-19,금요일,0,647,615,32,206,15,22,7,3,142,4,21,16,87
2022-08-20,토요일,토요일,647,615,32,5,0,19,2,0,0,4,0,0,0
2022-08-21,일요일,일요일,647,615,32,5,0,19,2,0,3,3,0,0,0
2022-08-22,월요일,0,647,615,32,22,3,27,4,1,20,2,4,0,182
2022-08-23,화요일,0,646,614,32,21,12,24,5,3,36,2,3,0,186
2022-08-24,수요일,0,647,615,32,26,11,16,5,0,32,2,3,1,175
2022-08-25,목요일,0,647,615,32,42,2,17,4,0,58,0,1,0,144
2022-08-26,금요일,0,647,615,32,208,14,14,6,3,167,0,15,2,63
2022-08-27,토요일,토요일,647,615,32,35,0,4,2,0,3,0,0,0,0
2022-08-28,일요일,일요일,647,615,32,35,0,4,2,0,3,0,0,0,0
2022-08-29,월요일,0,646,614,32,178,16,7,8,6,88,0,22,3,162
2022-08-30,화요일,0,646,614,32,147,2,9,8,6,150,0,16,7,118
2022-08-31,수요일,0,645,613,32,128,4,8,7,8,184,0,14,3,131
