일자,요일,정원,휴가자,출장자,초근,재택,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7,중식계
2021-01-25,월,600,111,24,0,28,흑미밥,냉이된장국,불맛제육볶음,한식잡채,시금치깨소금무침,포기김치,양상추샐러드/삼색송편,225
2021-01-26,화,600,94,24,0,21,강낭콩밥,얼큰콩나물국,삼치엿장구이,달걀맛살찜,봄동겉절이,포기김치,그린샐러드/귤,178
2021-01-27,수,600,115,24,0,16,차조밥,경상도소고기국,청양달걀장조림,우엉찹쌀튀김,숙주미나리무침,포기김치,호박죽/숭늉,145
2021-01-28,목,600,99,24,0,26,잡곡밥,돈육김치찌개,춘천닭갈비,호박씨멸치볶음,동초겉절이,동치미,양상추샐러드/시나몬토스트,146
2021-01-29,금,600,173,24,0,32,떠먹는유부초밥,우동,야채튀김,단무지,,포기김치,삼색생채비빔나물/강된장찌개,207
2021-02-02,화,600,115,24,0,17,잡곡밥,들깨미역국,바베큐폭찹,샐러드파스타,교동양념어묵,포기김치,딸기잼토스트/누룽지튀김,215
2021-02-03,수,600,124,24,0,19,백미밥,버섯찌개,카레라이스,쫄면,미트블양송이조림,백김치,그린샐러드/키위d/숭늉,177
2021-02-04,목,600,100,24,0,33,김치볶음밥,순두부백탕,계란후라이,국물떡볶이,순대/장,깍두기,양상추샐러드/식혜,144
2021-02-05,금,600,148,24,0,26,떠먹는유부초밥,우동,야채튀김,단무지,,포기김치,삼색생채비빔나물/강된장찌개,88
2021-02-08,월,600,125,24,0,27,차조밥,김치찌개,너비아니&파채,삼색계란찜,오이양파무침,포기김치,양배추샐러드/숭늉,198
2021-02-09,화,600,121,24,0,50,콩나물밥&양념장,된장찌개,불맛간장불고기,모닝빵샌드위치,단배추겉절이,포기김치,그린샐러드/버터링쿠키,145
2021-02-10,수,600,285,24,0,17,흑미밥,경상도소고기국,마파두부,우엉잡채,봄동겉절이,깍두기,호박죽/숭늉,51
