근무일자,요일,휴일명,대구_총원,근무인원,휴직,연차휴가,공가휴가,병가휴가,기타휴가,시내출장,국내출장,국외출장,스마트워크,재택근무,중식계
2021-01-01,금요일,신정,590,565,25,3,0,2,3,0,0,0,0,0,
2021-01-02,토요일,토요일,590,565,25,4,0,2,4,0,0,0,0,0,
2021-01-03,일요일,일요일,590,565,25,2,0,2,3,0,0,0,0,0,
2021-01-04,월요일,,600,574,26,59,1,5,20,2,14,0,5,41,121
2021-01-05,화요일,,600,575,25,70,1,2,10,3,40,0,10,55,121
2021-01-06,수요일,,600,575,25,47,1,3,15,5,37,0,10,54,121
2021-01-07,목요일,,600,575,25,64,1,7,23,5,54,0,11,78,121
2021-01-08,금요일,,600,575,25,105,1,7,21,2,84,0,8,101,121
2021-01-09,토요일,토요일,600,576,24,1,1,3,6,0,1,0,0,0,
2021-01-10,일요일,일요일,600,576,24,2,1,3,6,0,2,0,0,0,
2021-01-11,월요일,,600,576,24,66,1,6,20,6,27,0,11,47,121
2021-01-12,화요일,,600,576,24,46,1,6,19,5,49,0,9,53,121
2021-01-13,수요일,,600,576,24,54,2,4,17,4,56,0,6,49,121
2021-01-14,목요일,,600,576,24,71,1,5,15,3,74,0,13,62,121
2021-01-15,금요일,,600,576,24,102,0,4,29,3,102,0,17,75,121
2021-01-16,토요일,토요일,600,576,24,3,0,4,4,0,2,0,0,0,
2021-01-17,일요일,일요일,600,576,24,4,0,4,4,0,3,0,0,1,
2021-01-18,월요일,,600,576,24,71,1,9,16,8,38,0,6,43,121
2021-01-19,화요일,,600,576,24,41,0,6,10,5,49,0,5,42,121
2021-01-20,수요일,,600,576,24,51,0,4,12,6,64,0,9,35,121
2021-01-21,목요일,,600,576,24,62,0,5,19,7,92,0,14,38,121
2021-01-22,금요일,,600,576,24,122,1,6,22,5,130,0,10,59,121
2021-01-23,토요일,토요일,600,576,24,7,0,3,5,0,5,0,0,0,
2021-01-24,일요일,일요일,600,576,24,4,0,3,5,0,1,0,0,0,
2021-01-25,월요일,,600,576,24,63,0,6,18,1,29,0,10,28,225
2021-01-26,화요일,,600,576,24,53,0,3,14,4,59,0,9,21,178
2021-01-27,수요일,,600,576,24,66,0,4,21,7,81,0,11,16,145
2021-01-28,목요일,,600,576,24,53,1,2,19,5,95,0,12,26,146
2021-01-29,금요일,,600,576,24,114,6,6,23,3,101,0,12,32,207
2021-01-30,토요일,창립기념일,600,576,24,1,0,3,5,0,2,0,0,0,
2021-01-31,일요일,일요일,600,576,24,1,0,3,4,0,1,0,0,0,
2021-02-01,월요일,창립기념일,600,576,24,3,0,3,5,0,6,0,0,1,0
2021-02-02,화요일,,600,576,24,66,1,3,21,1,33,0,4,11,215
2021-02-03,수요일,,600,576,24,53,27,3,17,1,69,0,11,17,177
2021-02-04,목요일,,600,576,24,60,1,4,11,2,117,0,16,19,144
2021-02-05,금요일,,600,576,24,92,3,6,23,3,134,0,16,33,88
2021-02-06,토요일,토요일,600,576,24,8,0,3,8,0,10,0,0,0,
2021-02-07,일요일,일요일,600,576,24,7,0,3,8,0,8,0,0,0,
2021-02-08,월요일,,600,576,24,73,2,9,17,4,47,0,14,26,198
2021-02-09,화요일,,600,576,24,68,4,5,20,10,88,0,22,27,145
2021-02-10,수요일,,600,576,24,222,4,4,31,2,57,0,24,50,51
2021-02-11,목요일,설날연휴,600,576,24,7,0,2,8,0,0,0,0,0,0
2021-02-12,금요일,설날,600,576,24,7,0,2,8,0,0,0,0,0,0
2021-02-13,토요일,설날연휴,600,576,24,7,0,2,8,0,0,0,0,0,
2021-02-14,일요일,일요일,600,576,24,8,0,2,8,0,0,0,0,0,
2021-02-15,월요일,,600,576,24,107,12,6,23,2,17,0,7,17,189
2021-02-16,화요일,,600,576,24,66,8,4,9,6,88,0,3,24,142
